Country,LE_index,LE_female,LE_male,smoking,narco,Obesity,GDP,Happiness,ge,meat,corr,ed,aversal,inflation,co2,alcohol
Saint Kitts and Nevis,72.28,76.16,68.69,17.67,1.74,46.60,35545.00,5.50,0.72,108.40,42.08,0.48,1.71,5.62,4.76,6.60
Saint Lucia,72.85,76.45,69.45,13.30,0.92,33.90,27567.00,5.50,0.72,111.90,59.00,0.86,1.81,5.62,1.43,6.50
Saint Vincent and the Grenadines,71.38,74.48,68.78,17.67,1.04,33.60,21272.00,5.50,0.72,113.90,63.00,0.64,1.95,5.62,4.76,6.90
Samoa,71.83,73.82,69.96,20.80,0.42,61.20,7837.00,5.50,0.72,136.00,42.08,0.82,1.51,5.62,1.65,5.40
San Marino,85.82,87.22,84.32,17.67,1.74,23.48,75942.00,5.50,0.72,67.47,42.08,0.72,3.34,5.62,4.76,5.43
Sao Tome and Principe,69.9,73.91,66.41,8.10,1.30,15.00,6230.00,5.50,0.72,51.30,45.00,0.69,0.98,10.30,4.76,6.40
Saudi Arabia,78.98,81.33,77.33,0.20,2.02,41.40,71243.00,6.59,0.64,66.80,57.00,0.55,2.00,1.80,18.89,0.30
Senegal,68.92,71.01,67.01,5.80,1.58,8.70,5110.00,4.97,0.67,29.20,46.00,0.80,0.16,0.40,0.68,0.70
Serbia,76.94,80.18,73.68,0.40,0.66,26.01,31867.00,6.41,0.77,68.30,33.00,0.35,1.03,2.40,4.76,5.90
Seychelles,72.99,76.66,70.08,19.70,0.78,30.30,33239.00,5.50,0.72,119.30,68.00,0.79,0.22,0.10,8.72,7.30
Sierra Leone,61.96,63.7,60.23,0.10,3.17,6.50,3516.00,3.25,0.68,35.10,34.00,0.76,0.17,6.38,0.13,3.50
Singapore,83.86,86.36,81.38,16.20,0.26,13.50,150689.00,6.52,0.72,67.47,42.08,0.37,4.46,1.40,9.46,1.10
Sint Maarten,76.53,79.66,73.85,17.67,1.74,23.48,52085.00,5.50,0.72,67.47,42.08,0.67,1.20,5.62,4.76,5.43
Slovakia,78.49,81.71,75.21,32.80,0.68,30.30,47181.00,6.26,0.72,72.60,48.00,0.87,1.62,4.00,6.44,12.20
Slovenia,81.78,84.47,79.11,19.50,1.11,22.20,56531.00,6.74,0.77,85.80,58.00,0.84,2.72,2.90,6.59,13.90
Solomon Islands,70.69,72.18,69.36,36.10,0.18,21.60,2872.00,5.50,0.72,40.50,44.00,0.91,0.61,3.40,0.41,5.30
Somalia,58.97,61.55,56.49,17.67,0.62,12.70,1601.00,5.50,0.72,67.47,42.08,0.48,0.18,5.10,0.05,0.40
South Africa,66.31,69.79,62.78,20.50,1.52,30.00,15458.00,5.42,0.77,66.30,41.00,0.27,1.47,3.50,6.49,7.00
South Korea,84.43,87.28,81.32,18.50,0.20,6.70,31433.77,6.06,0.69,133.90,63.00,0.67,2.29,2.00,12.27,13.90
South Sudan,57.74,60.75,54.76,17.67,0.59,8.00,1155.00,5.50,0.72,23.90,9.00,0.88,0.18,113.00,4.76,5.43
Spain,83.8,86.44,81.1,27.80,1.10,19.20,56926.00,6.42,0.80,142.70,55.00,0.35,2.66,2.30,5.32,1.50
Sri Lanka,77.67,80.75,74.45,18.50,1.16,10.60,15633.00,3.90,0.65,40.80,35.00,0.85,0.18,1.60,0.81,3.10
Sudan,66.52,69.83,63.45,17.67,3.34,15.50,2127.00,5.50,0.57,21.50,14.00,0.75,0.18,5.62,0.50,1.30
Suriname,73.76,76.98,70.59,17.67,1.30,29.00,22067.00,5.50,0.74,78.80,38.00,0.37,0.38,11.00,5.28,6.90
Sweden,83.42,85.22,81.65,20.50,4.10,16.40,71030.00,7.34,0.82,100.20,80.00,0.59,4.08,0.50,3.61,11.00
Switzerland,84.09,85.95,82.17,25.30,1.84,13.70,93818.00,7.06,0.79,82.20,80.00,0.92,8.22,0.10,4.11,9.50
Syria,72.56,74.92,70.21,17.67,1.89,31.20,4650.00,5.50,0.72,18.10,15.00,0.92,0.19,11.35,1.26,0.60
Tajikistan,71.93,74.14,69.68,17.67,0.36,20.80,5406.00,5.28,0.65,37.90,19.00,0.40,0.28,3.60,1.04,0.90
